Name;Acronym;State Acronym;Institution Type;Level_1;Level_2;Level_3
Faculdade de Tecnologia Senac Curitiba;;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE REGIONAL SERRANA;FUNPAC;ES;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE DO ESTADO DO AMAPÁ;UEAP;AP;universidade e instâncias ligadas à universidades;;;
Faculdade São Judas de São Bernardo do Campo;;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS GERENCIAIS ALVES FORTES (JUIZ DE FORA);FACE ALFOR JF;MG;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO CENECISTA DE OSÓRIO;UNICNEC;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE CAMPOS GERAIS;FACICA;MG;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO CURITIBA;UNICURITIBA;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE VENDA NOVA DO IMIGRANTE;FAVENI;ES;universidade e instâncias ligadas à universidades;;;
UNIVERSIDADE DO VALE DO PARAÍBA;UNIVAP;SP;universidade e instâncias ligadas à universidades;;;
Faculdade Presidente Antônio Carlos de Bom Sucesso;FUNEES Bom Sucesso;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Fleming Cerquilho;Fac Cerquilho;SP;universidade e instâncias ligadas à universidades;;;
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS;IFNMG;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE SIGMA;SIGMA EAD;BA;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia de Jacareí;FATEC Jacareí;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE METODISTA DO SUL PAULISTA;FMSP;SP;universidade e instâncias ligadas à universidades;;;
Centro Universitário Multivix Vitória;;ES;universidade e instâncias ligadas à universidades;;;
Centro Universitário Salesiano;UniSales;ES;universidade e instâncias ligadas à universidades;;;
FACULDADE INTEGRADA DA AMAZÔNIA;FINAMA;PA;universidade e instâncias ligadas à universidades;;;
FACULDADE METODISTA GRANBERY;FMG;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE UNIRB CEARÁ;F.CEARÁ;CE;universidade e instâncias ligadas à universidades;;;
FACULDADE SERRA DA MESA;FASEM;GO;universidade e instâncias ligadas à universidades;;;
FACULDADE GUARAÍ;FAG;TO;universidade e instâncias ligadas à universidades;;;
Faculdade Integrada CETE;FIC;PE;universidade e instâncias ligadas à universidades;;;
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS;PUC MINAS;MG;universidade e instâncias ligadas à universidades;;;
Faculdade Pitagoras Anhanguera de Santa Cruz do Sul;;RS;universidade e instâncias ligadas à universidades;;;
FACULDADE DE EDUCAÇÃO TECNOLÓGICA DO ESTADO DO RIO DE JANEIRO;FAETERJ PARACAMBI;RJ;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ITÁPOLIS - FACITA;FACITA;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE NOVE DE JULHO DE BAURU;NOVE-BAURU;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE MARECHAL RONDON;FMR;SP;universidade e instâncias ligadas à universidades;;;
ACADEMIA DE POLÍCIA MILITAR DE MINAS GERAIS;APM;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE ANHANGUERA PITÁGORAS DE JUNDIAÍ;;SP;universidade e instâncias ligadas à universidades;;;
INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO PARANÁ;IFPR;PR;universidade e instâncias ligadas à universidades;;;
FACULDADE DE CIÊNCIAS HUMANAS DE CURVELO;FACIC;MG;universidade e instâncias ligadas à universidades;;;
INSTITUTO GOIANO DE DIREITO;IGD;GO;universidade e instâncias ligadas à universidades;;;
FACITEN - FACULDADE DE CIÊNCIAS E TECNOLOGIAS DE NATAL;FACITEN;RN;universidade e instâncias ligadas à universidades;;;
FACULDADE EUROPÉIA DE VITÓRIA;FAEV;ES;universidade e instâncias ligadas à universidades;;;
FACULDADE DE TECNOLOGIA IPUC;FATIPUC;RS;universidade e instâncias ligadas à universidades;;;
Faculdade Uniavan Joinville;UNIAVAN;SC;universidade e instâncias ligadas à universidades;;;
Instituto União das Faculdades Americanas;IUFA;GO;universidade e instâncias ligadas à universidades;;;
Faculdade de Tecnologia de Diadema Luigi Papaiz;FATEC DIADEMA;SP;universidade e instâncias ligadas à universidades;;;
FACULDADE UNIFTB;;SE;universidade e instâncias ligadas à universidades;;;
FACULDADE PITÁGORAS UNOPAR DE CHAPECÓ;;SC;universidade e instâncias ligadas à universidades;;;
Faculdade AGES de Lagarto;Faculdade AGES;SE;universidade e instâncias ligadas à universidades;;;
FACULDADE SANTO ANTÔNIO;FSA;SP;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS;CIESA;AM;universidade e instâncias ligadas à universidades;;;
FACULDADE MAURÍCIO DE NASSAU DE NITERÓI;FMN NITERÓI;RJ;universidade e instâncias ligadas à universidades;;;
INSTITUTO SUPERIOR DE EDUCAÇÃO VALE DO SALGADO;IVS;CE;universidade e instâncias ligadas à universidades;;;
Faculdade de Colinas do Tocantins;;TO;universidade e instâncias ligadas à universidades;;;
CENTRO UNIVERSITÁRIO DE SANTA FÉ DO SUL;UNIFUNEC;SP;universidade e instâncias ligadas à universidades;;;
Escola Superior de Tecnologia & Gestão de Santa Catarina;EST&G;SC;universidade e instâncias ligadas à universidades;;;
FACULDADE DE PRESIDENTE EPITÁCIO - FAPE;FAPE;SP;universidade e instâncias ligadas à universidades;;;
FAI - CENTRO DE ENSINO SUPERIOR EM GESTÃO, TECNOLOGIA E EDUCAÇÃO;;MG;universidade e instâncias ligadas à universidades;;;
FACULDADE DE ADMINISTRAÇÃO, CIÊNCIAS, EDUCAÇÃO E LETRAS;FACEL;PR;universidade e instâncias ligadas à universidades;;;
Faculdade Abrange ABC;FABRANGE;SP;universidade e instâncias ligadas à universidades;;;
